highway_name,route_no,from_location,to_location,source_url,source_note
OZARK EXPRESSWAY,IS 55,.355 mile(s) before RP IS55N TO MERAMEC BOTTOM RD E,.017 mile(s) before CRD BUTLER HILL RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1951-01-01; years_of_sunset=INDEFINITE
ROSA PARKS HIGHWAY,IS 55,.017 mile(s) before CRD BUTLER HILL RD E,.003 mile(s) before RP US50W TO IS55S S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2000-07-01; years_of_sunset=INDEFINITE
ROSA PARKS HIGHWAY,IS 55,.003 mile(s) before RP US50W TO IS55S S,.039 mile(s) after RP US50E TO IS55N N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2000-07-01; years_of_sunset=INDEFINITE
OFFICER THOMAS G SMITH JR MEMORIAL HIGHWAY,IS 55,.001 mile(s) before CRD MERAMEC BOTTOM RD E,.007 mile(s) before CRD BUTLER HILL RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
JOHANN STUPP MEMORIAL HIGHWAY,IS 55,.01 mile(s) after CST CARONDELET BLVD E,.012 mile(s) after CST WEBER RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-02-26; years_of_sunset=20 YEARS
JOHANN STUPP MEMORIAL HIGHWAY,IS 55,.056 mile(s) after CRD BAYLESS AVE E,.056 mile(s) after CST WEBER RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-02-26; years_of_sunset=20 YEARS
JOHANN STUPP MEMORIAL HIGHWAY,IS 55,.056 mile(s) after CST WEBER RD E,.018 mile(s) before CST GERMANIA AVE E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-02-26; years_of_sunset=20 YEARS
PURPLE HEART TRAIL (I-64),IS 64,IS 55 S,.006 mile(s) before RP PITMAN AVE TO US40W W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
PURPLE HEART TRAIL (I-64),IS 64,IS 70 E,IS 55 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-08-28; years_of_sunset=INDEFINITE
OZARK EXPRESSWAY,IS 55,.012 mile(s) after CST WEBER RD E,.002 mile(s) before RP US50W TO IS55S S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=1951-01-01; years_of_sunset=INDEFINITE
JOHANN STUPP MEMORIAL HIGHWAY,IS 55,.012 mile(s) after CST WEBER RD E,.012 mile(s) after CRD BAYLESS AVE E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-02-26; years_of_sunset=20 YEARS
SSGT ERIC W SUMMERS MEMORIAL HIGHWAY,US 67,RT M E,US 60 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER STEVEN JARVIS MEMORIAL HIGHWAY,IS 55,CRD MERAMEC BOTTOM RD E,MO 141 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
OFFICER THOMAS G SMITH JR MEMORIAL HIGHWAY,IS 55,CRD BUTLER HILL RD E,CRD MERAMEC BOTTOM RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2006-08-28; years_of_sunset=INDEFINITE
TROOPER JAMES FROEMSDORF MEMORIAL HIGHWAY,IS 55,.304 mile(s) after RP RTM TO IS55S S,.566 mile(s) after RP MO51 TO IS55S S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2002-08-28; years_of_sunset=INDEFINITE
WO1 REGINALD D CLEVE MEMORIAL HIGHWAY,US 67,.006 mile(s) before RT H S,CST NEW PERRINE RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-08-28; years_of_sunset=INDEFINITE
SP5 BILLY J MEADOR MEMORIAL HIGHWAY,US 67,CST NEW PERRINE RD E,.005 mile(s) after CST MAPLE ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2022-08-22; years_of_sunset=INDEFINITE
MEDAL OF HONOR DARRELL S COLE MEMORIAL HIGHWAY,US 67,CRD FAIRGROUNDS DR S,MO 32 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEDAL OF HONOR MEMORIAL HIGHWAY; year_established=2025-08-28; years_of_sunset=INDEFINITE
DEPUTY STEVEN R ZIEGLER MEMORIAL HIGHWAY,US 67,MO 32 W,MO 8 E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
DEPUTY STEVEN R ZIEGLER MEMORIAL HIGHWAY,US 67,.002 mile(s) after MO 8 E,.001 mile(s) before MO 32 W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2004-08-28; years_of_sunset=INDEFINITE
