highway_name,route_no,from_location,to_location,source_url,source_note
04-02,,"Charlie ""Choo Choo"" Justice",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/5/2004; segment NC 150 in Cherryville;Gaston County citizen inquiry;resolution from Cherryville; Luther H. Hodges I 540 from NC 55 to NC 54 through the Research Triangle Par
,,,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 1/8/2004
03-21,,Bob Jordan,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 12/4/2003; NC 24/27 from Pee Dee River Bridge thru Montgomery Co. to Resolution from Town of Mt. Gilead, Troy"
04-07,,Don Goins,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 11/16/2003; Northeast connector from US 52 in Albemarle to NC 740; Stan resolution from city - 3/21/04committee 4
03-15,,C. F. Harvey,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 10/9/2003; Crescent Road from NC 58 North to US 70; Lenoir County resolution from county and City of Kinsto
03-16,,Dr. Joe C. Padgett,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/9/2003; US 64 Bypass; Clay County resolution from county; Sept. committee;
03-10,,E. Avery Hightower,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/6/2003; the area of NC 743 at a point north of the Jones Creek Bridge; resolution from county;board approved 6/
03-11,,Faye Broyhill,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/5/2003; NC 18 from Kings Creek Elementary School in Caldwell Co. to resolution from Caldwell Co.& Wilkes Co
04-01,,Luther Hodges,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/18/2003; I-40 from Chapel Hill to RTP; Orange/Durham Counties resolution from RTF; committee in Nov;
03-05,,Jerome C. Davis,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/6/2003; US 311 from Cedar Square Rd (SR 1928) in Glenola to Banne 1.69 miles; Feb. committee; full board 3/
03-04,,"William F. Absher, Jr.",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 12/17/2002; US 421 from SR 1147 (Minton Rd) to SR 1156 (Goforth Rd); committee in 1/03; full board 3/03
02-27,,Senator Aaron Pyler,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 12/11/2002; US 601 from Cabarrus CL to US 601/74 Interchange; Union C approved 12/11/02; all resolutions in J.M. Hunt, Jr. Expressway US 264 from US 64 at the Wake Co. line through Nash and"
,,,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 12/1/2002
02-23,,"J. Vines Cobb, Jr",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 10/3/2002; NC 43 Bypass (Springfield Rd), US 64 Alternate to intersectio Res'n - county; committee 9/02; board a"
02-25,,"Senator R.L. ""Bob"" Martin",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 9/7/2002; NC 11/13 Bypass around Bethel; Pitt County Town resolution in from county & town;c
05-15,,Carl Moore Story,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,"NCDOT Road and Bridge Namings list; date 9/6/2002; NC 18 from norh c/l of Gamewell to Burke Co. line; Caldwell C citizen letter request; 2nd letter 2/11/04;r M/V Croatoan-Ferry M/V Croatoan; Dare County and eastern North Carolina Dr. H.F. ""Cotton"" Robinson NC 107 W of Cullowhee from the bridges over Tuckasegee S"
"Thursday, July 30, 2015",,02-22,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/13/2002; Page 10 of 27 Status Search A - Approved A I - Inactive DATE TYPE P - Pending FILE #
02-18,,John B. Bond,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/8/2002; names Governors Rd. from just beyond the east city limits of approved 8/8/02;resolution in 7/02;provid
02-17,,"John J. Burney, Jr",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 8/8/2002; US 17 Bypass from I-40 Interchange to Pender County line; N resolution from county; committee 7/02;
02-15,,Andy Griffith,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/11/2002; segment of US 52 from I 74 to the Virigina State Line near Mt. resolutions from city and county; committ
02-13,,George W. Liles,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/6/2002; Westside Bypass from I-85 to NC 49; Cabarrus County resolutions from City of Concord and Ca
02-10,,Jake White,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 5/2/2002; US 64/90 from Four Seasons Dr to Alexander County line; Cal Board approved 5/2;committee approved
02-09,,"C.B. ""Charlie"" Griffin, Jr.",,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 5/2/2002; NC 11 from Bertie Co line at Roanoke River Bridge to N of Le Board approved 5/2;committee approved
02-08,,Morris McGough,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 4/4/2002; I-26 from the Madison-Buncombe Co. line to I 240; Buncombe Resolutions from County & WNC Comm.
02-06,,Pottery Highway,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/7/2002; NC 705 from US 221 to I-73/74; Randolph/Moore counties Approved 3/7/02; 26 miles
