highway_name,route_no,from_location,to_location,source_url,source_note
Hon. Richard A. Maughmer Highway,IN-218,from CR 500 E in Cass County to US 31,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Veterans Memorial Highway,IN-240,from US 231 to Indianapolis Rd,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Dr. Martin Luther King, Jr. Memorial Drive""",IN-312,East Chicago Aveue in East Chicago,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Representative Dennis Heeke Highway""",IN-545,through Dubois County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Highway Construction Workers Memorial Highway""",IN-912,"Cline Ave. Extension, from US 12 to I-90",,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Operation Enduring Freedom Highway,IN-930,through New Haven,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Grand Army of the Republic Highway""",US-6,in its entirety,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Cesar Chavez Memorial Highway,US-12,from East Chicago US 20 to SR 912,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Iron Brigade Highway,US-12,from Illinois to Michigan,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Veterans Memorial Highway""",US-20,E. border of Porter Co. to W. border of St. Joseph Co.,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"(US 31) ""St. Joseph Valley Parkway""",US-20,"from Co.Rd. 17, Elkhart Co. to the Michigan State Line",,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Dean Mock Expressway,US-20,from Co.Rd. 17 to the St. Joseph County Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Medal of Honor Highway,US-20,from Illinois to Ohio,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Mayor Rudolph 'Rudy' Clay Memorial Highway,US-20,through Lake County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Blue Star Memorial Highway,US-24,from Fort Wayne to US 31,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Phyllis J. Pond Memorial Highway,US-24,from I-469 to Ohio,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""National Historical Road""",US-27,from Michigan State line to Ohio State line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Bing Welch Memorial Highway,US-27,from Main St to I-70,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Gene Stratton Memorial Highway,US-27,US 27 (SR 9),,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Dean Brenneman Memorial Highway""",US-30,"bridge over the Blue River, 1/2 mi W of SR 205",,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Old Lincoln Highway,US-30,,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Veterans Memorial Parkway""",US-31,Beginning at Washington St. in Columbus to Johnson Co.Rd. 800 N,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Berley Goodin Way,US-31,from Main St to East St,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Blue Star Memorial Highway,US-31,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Haynes-Apperson Expressway,US-31,through Howard County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Vietnam Veterans Memorial Highway,US-31,from N. Meridian St. in Indianapolis to Lincoln Blvd. in Kokomo,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Richard W. Mangus Memorial Highway,US-31,from PierceRd. (SR 4) to Lake Trail,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"(SR 22) ""Eugene Linn Highway""",US-35,between I-69 and SR 9,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Edwin J. Simcox Memorial Highway,US-35,through La Porte County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Ernie Pyle Memorial Highway,US-36,through Vermillion County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Veterans Memorial Highway""",US-40,through Wayne County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Blue Star Memorial Highway,US-40,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Clarence J. 'Mac' McCormick III Memorial Highway""",US-41,with the city of Vincennes,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Highway of Flags,US-41,through Indiana,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Governor Edgar D. Whitcomb Highway""",US-50,from US 31 in Jackson Co. to CR 700 W in Jennings Co.,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Russell 'Bob' Harrell Memorial Highway""",US-50,from Bedford to Brownstown,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Officer Anthony Burton and Reserve Officer Lonnie Howard Memorial Highway,US-50,from CR 150 N to Muscatatuck River,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
