OBJECTID,Jurisdiction,Dedication Feature Type,Dedication Type,Displayed Sign Text,Dedication Year,Information,Streetview,GlobalID,Search URL
132,Anne Arundel,BRID,Military_Service,Dedicated as the Pearl Harbor Memorial Bridge,2006,"Dedicated on the 65th anniversary of the attack on Pearl Harbor, the Severn River Bridge was renamed in a ceremony on December 7, 2006.","https://www.google.com/maps/@39.0027537,-76.5068835,3a,40.3y,34.67h,87.67t/data=!3m6!1e1!3m4!1sgwr-0kY1k_Tmzzbz8Q0eRA!2e0!7i13312!8i6656",03924a2f-031e-415e-822a-6bba063aad5a,https://bit.ly/2BRJYCJ
133,Montgomery,BRID,Military_Service,American Legion Memorial Bridge,1969,"Dedicated as the American Legion Memorial Bridge on May 30, 1969; originally named the ""Cabin John Bridge.""","https://www.google.com/maps/@38.9658057,-77.1803283,3a,41.6y,21.45h,87.31t/data=!3m6!1e1!3m4!1scHXi3ptUBDgTqHFF3g6Jug!2e0!7i13312!8i6656",6d9f4889-65c6-46fa-a164-18d940c772a0,https://bit.ly/2BPPIgb
134,Baltimore,SITE,Military_Service,Battle of North Point War of 1812,N/A,"The Battle of North Point, fought on September 12, 1814, was a pivotal moment in the War of 1812. One of several commemorations in the immediate area.","https://www.google.com/maps/@39.2834656,-76.491326,3a,17y,94.21h,90.45t/data=!3m6!1e1!3m4!1sMCw2YNLXIDBoVyj6ggl4SA!2e0!7i13312!8i6656",6f3a2941-1b35-49c3-b09f-7115c1333a99,https://bit.ly/2KRkmIO
135,Prince Georges,ROAD,Military_Service,Blue Star Memorial Highway,2010,Marked highways that pay tribute to those who have served in the U.S. Armed Forces. The blue star was used on service flags to denote a service member fighting in the war.,"https://www.google.com/maps/@38.9586122,-76.8680206,3a,15y,258.89h,90.08t/data=!3m6!1e1!3m4!1s_nEFTLdbnwi6txb9enlZ0A!2e0!7i13312!8i6656",964fcecd-9935-4222-9002-3b020fe6fa03,https://bit.ly/2AOlqIL
136,Baltimore,BRID,Military_Service,Bridge Dedicated to CPT Jesse Melton III United States Marine Corps,2018,"Dedicated to United States Marine Corps Captain Jesse Melton III who was killed in action in the Parwan province of Afghanistan on September 9, 2008 while supporting Operation Enduring Freedom.",https://goo.gl/maps/cMWETk5Nj9p,b25f5455-0df2-4f24-9b48-3022a232463a,https://bit.ly/2AQ6Ctc
137,Baltimore,SITE,Military_Service,Dedicated to LCPL Norman ""Wally"" Anderson III CPL Joshua David Snyder United States Marine Corps,2015,"Dedicated to United States Marine Corps Lance Corporal Norman ""Wally"" Anderson III and Corporal Joshua David Snyder, Hereford High alumni and boot camp roommates, were killed in action on October 19, 2005 and November 30, 2005 respectively while supporting Operation Iraqi Freedom.","https://www.google.com/maps/@39.597532,-76.661427,3a,75y,17.45h,95.1t/data=!3m6!1e1!3m4!1sWiD2R2io4DPhcSfLZE5mvA!2e0!7i13312!8i6656",e96ab035-42aa-460a-9121-484fe158b95d,https://bit.ly/2Uf71hG
138,Baltimore City,SITE,Law_Enforc_Ser,In memory of Cpl. Courtney Brooks Maryland Transportation Authority Police,N/A,"Dedicated to Maryland Transportation Authority Police Corporal Courtney G. Brooks who was killed in the line of duty on January 1, 2008.","https://www.google.com/maps/@39.2693237,-76.6589069,3a,75y,88.6h,90t/data=!3m6!1e1!3m4!1sPXpkoZnlLrPADWgPY-mYzw!2e0!7i13312!8i6656",70a93357-c49f-41a4-a746-674669b2f429,https://bit.ly/2FYQrjh
139,Worcester,ROAD,Law_Enforc_Ser,Dedicated to Cpl Glenn Hilliard Wicomico Co Sheriffs Office,2023,"Cpl. Glenn Hilliard, killed in the line of duty June 12, 2022, served the Wicomico Co Sheriff’s Office, the Berlin Police Dept, the Crisfield Police Dept & the Ocean City Police Dept during his career. He started in law enforcement as Student Security Personnel while enrolled at the University of Maryland Eastern Shore, a historically Black university in Princess Anne.","https://www.google.com/maps/@38.3379781,-75.1115119,3a,62.1y,228.69h,97.28t/data=!3m6!1e1!3m4!1sl0ez75ejYW2stTCbtlYYPg!2e0!7i13312!8i6656!6m1!1e1",b1fa2c5a-a4e5-4462-a972-4df4fccea23f,https://www.google.com/search?q=cpl+glenn+hilliard&rlz=1C1GCEA_enUS844US844&oq=cpl+glen&aqs=chrome.0.0i512j69i57j46i175i199i512l2j0i22i30l2j0i390i650.2781j0j15&sourceid=chrome&ie=UTF-8
140,Worcester,BRID,Political_Service,Harry W. Kelley Memorial Bridge,N/A,Named in honor of former Ocean City Mayor Harry W. Kelley who served for eight terms.,"https://www.google.com/maps/@38.3320339,-75.0891561,3a,75y,284.4h,89.03t/data=!3m6!1e1!3m4!1smR7VLXwugNgH5fl2h0TQEw!2e0!7i13312!8i6656",7799f419-b20a-473c-8fa8-7000d33fc06f,https://bit.ly/2UizGCP
141,Calvert,BRID,Political_Service,Governor Thomas Johnson Bridge,1978,"Named in honor of Thomas Johnson, 1st Governor of Maryland and Calvert County native.","https://www.google.com/maps/@38.332154,-76.4662777,3a,75y,192.1h,86.92t/data=!3m6!1e1!3m4!1sh2kF7Vveamp_3WL-Vvbg1Q!2e0!7i13312!8i6656",048b6c89-7451-4fe1-ba9c-f7973c9fa7fa,https://bit.ly/2KSqsZu
