highway_name,route_no,from_location,to_location,source_url,source_note
Edward S. Tucker Memorial Boulevard,NY 208,Shawangunk,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The Elmer G.H. Youngmann Memorial Highway,,"I 290, Tonawanda, Amherst, Williamsville",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Erie Canal Expressway,I 490,"Bushnell Basin, Pittsford, Rochester, Gates",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Erie County Veterans Memorial Highway,US 219,"North Boston, Orchard Park, West Seneca",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Father Joseph Champlin Memorial Highway,NY 174,Camillus,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The Frank A. Moore Memorial Highway,"US 4, NY 22","Fort Ann, Whitehall",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The Fort Drum Military Highway,NY 3,"Watertown, Deferiet, Natural Bridge, Jefferson-Lewis County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The General Casimir Pulaski Highway,"NY 5, NY 12",Utica,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
General Philip Schuyler Commemorative Highway,NY 29,"Saratoga Springs, Schuylerville",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Genesee and Orleans Veterans’ Memorial Highway,NY 98,"Alexander, Batavia, Elba, Barre, Albion, Gaines, Carlton",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Genesee River Parkway,NY 417,Wellsville,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Grand Army of the Republic Highway,US 6,"Pennsylvania-New York State line, Port Jervis, Slate Hill, Goshen, Harriman, Central Valley, Bear Mountain Bridge, Peekskill, Carmel, Tilly Foster, Brewster, Connecticut-New York State line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Greene County Veterans Memorial Highway,NY 23,"South Cairo, Catskill",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Griffiss Veterans’ Memorial Parkway,NY 825,Rome,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Hancock Veterans Memorial Highway,NY 97,Hancock,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Harriet Tubman Memorial Highway,NY 34,"Hannibal, Ira, Cato, Brutus, Weedsport, Sennet, Auburn, Fleming, Scipio, Venice, Genoa, Lansing, Ithaca, Newfield, Danby, Spencer, Van Etten, Barton, Waverly",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Henrietta Veterans Memorial Highway,NY 15A,Henrietta,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Honorable Donald Olson Memorial Highway,NY 23,between the northern intersection with Old Road and CR 65 in the Town of Windham Greene County.,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Hudson Valley POW/MIA Memorial Highway,NY 9D,"Manitou, Garrison, Cold Spring, Nelsonville, Beacon, Wappingers Falls excluding the “J. Donald Synnett Memorial Bridge”",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Jack Austen Highway,NY 25,"Brookhaven, Ridge",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Jewish War Veterans Memorial Highway,I 287,"New Jersey-New York State line, Suffern, Montebello, Nanuet, Nyack",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Joe DiMaggio Highway,NY 9A,"Battery Park, Tribeca, Greenwich Village, Chelsea, Hells Kitchen, Riverside Park (also known as West Side Highway, and the Miller Highway)",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
