highway_name,route_no,from_location,to_location,source_url,source_note
Old Zane Trace Memorial Highway,State Route 41,"The road known as state route number forty-one, running in a northeasterly and southwesterly direction, commencing at the village of Aberdeen, in Brown county, as the junction of United States route number fifty-two, and extending through the counties of Adams, Highland, and Pike to the junction of state route number forty-one with state route number fifty, at the west junction thereof, in Ross county, shall be known as the ""Old Zane Trace Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.2,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Ohio Army National Guard Two Hundred Sixteenth Engineering Battalion Memorial Highway,State Route 756,"The road known as state route number seven hundred fifty-six, running in an easterly and westerly direction within Brown and Clermont counties only, shall be known as the ""Ohio Army National Guard Two Hundred Sixteenth Engineering Battalion Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.86,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
PFC M. Preston Wheeler Memorial Highway,State Route 125,"The eastbound and westbound lanes of state route number one hundred twenty-five, between mile marker four and mile marker five, in Brown county only, shall be known as the ""PFC M. Preston Wheeler Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5534.823,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Sgt. Anthony Kress Vinnedge Memorial Highway,State Route 129,"The eastbound and westbound lanes of SR 129, between Chapel Road and the border of Indiana, in Butler County",,https://codes.ohio.gov/ohio-revised-code/section/5534.877,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Forty-second Rainbow Division Memorial Highway,State Route 42,"The road known as state route number forty-two, running in a northeasterly and southwesterly direction across the state through the counties of Cuyahoga, Medina, Wayne, Ashland, Richland, Morrow, Delaware, Union, Madison, Clark, Greene, Warren, Butler, and Hamilton and through the municipal corporations of Cleveland, Medina, Ashland, Mansfield, Mt. Gilead, Delaware, London, Xenia, Lebanon, and Cincinnati shall be known as the ""Forty-second `Rainbow' Division Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.07,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Wright Brothers Memorial Highway,State Route 4,"The road known as state route number four of this state, running in a northeasterly and southwesterly direction, commencing at the city of Cincinnati in Wyoming, Hamilton county, and extending through the counties of Butler, Montgomery, Greene, Clark, Champaign, Union, Delaware, Marion, Crawford, Seneca, Huron, and Erie to the city of Sandusky, and through the municipal corporations of Hamilton, Middletown, Dayton, Springfield, Mechanicsburg, Marysville, Marion, and Bucyrus, shall be known as ""Wright Brothers Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.14,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Pearl Harbor Memorial Highway,Interstate Route 75,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.241,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Walter 'Smokey' Alston Memorial Highway,State Route 177,"The road known as state route number one hundred seventy-seven, within the community of Darrtown in Butler county only, shall be known as the ""Walter 'Smokey' Alston Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.39,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Governor William Bebb Bicentennial Roadway,State Route 126,"The road known as state route number one hundred twenty-six, commencing in the community of Venice in Butler county and extending westward to the Indiana border, shall be known as the ""Governor William Bebb Bicentennial Roadway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.69,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Butler County Veterans Highway,State Route 129,"The road known as state route number one hundred twenty-nine, beginning in Butler county at the junction with interstate number seventy-five and extending westward through the municipal corporation of Hamilton to the Indiana border, shall be known as the ""Butler County Veterans Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.74,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
"LCpl. Timothy Michael Bell, Jr. Memorial Highway",U.S. Route 42,"The northbound and southbound lanes of USR 42, between Fields Ertel Road and West Chester Road, in Butler County",,https://codes.ohio.gov/ohio-revised-code/section/5534.704,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Sheriff Dale R. Williams Memorial Highway,State Route 39,SR 39  between Dellroy and Carrollton,,https://codes.ohio.gov/ohio-revised-code/section/5534.452,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
