route,memorial_status
N 3RD ST,
W COLFAX AVE  AND KALAMATH ST,
N 24TH CT,
COUNTY ROAD 315,
FIVEMILE LN,
COUNTY ROAD 7 N,
13TH AVE  AND MT. EVANS SCENIC BWY,
COROUTE FOR 059A,
MAIN AVE AND CAMINO DEL RIO,
TRANQUIL LN,
PARK AVE,
TRAIL GULCH RD,
COUNTY ROAD 614,
W CHESTNUT ST,
BUCHANAN AVE,
W 76TH AVE,
W CASCADE ST,
MANITOU AVE AND GARDEN OF THE GODS PL,
EXITING SAWPIT,
FONTAINE BLVD,
S CAMINO DEL RIO AND 8TH AVE,
COROUTE FOR 141A,
CO-69 AT,
COUNTY ROAD 6412,
28TH ST TO WINDING TRAIL DR AND PALO PKY,
US-24 IS A COROUTE FOR 067C,
E ARAPAHOE PL,
RIVERSIDE AVE,
CO-133 AND MCCLURE PASS,
W COLORADO AVE,
1560 RD,
DTD^_^5TH STREET,
CO-257-SPUR,
CO-15,
CAREFREE CIR N,
S OAK AVE,
ADAMS ST,
DTD^_^OAK STREET,
HUGHES RD,
W 15TH ST,
ROSITA AVE,
GROVE AVE,
INDIAN PEAKS DR,
JUSTIN AVE,
US-50-BR (BUSINESS RT. 50),
S HOLLY ST,
GREEN STREET,
W 6TH ST,
SANTA RITA DR,
060A,
28 3/4 RD,
COUNTY ROAD (CR-55),
SUGAR LOAF RD,
TINKHAM LN,
CLAYTON ST,
DTD^_^LAKE AVE,
S BRYANT ST,
072B,
016A,
W AGATE AVE,
E 5TH ST S,
PROSPECT ST,
DTD^_^5TH AVE,
8TH ST AGT CR-W,
ELM AVE AND COROUTE FOR 071B,
SANTA FE AVE,
E 9TH ST,
GRANT AVE,
ACCO RD,
N DOLORES RD,
COUNTY ROAD 4571,
N PINON DR,
S RARITAN ST,
CR-9,Possible Memorial Designation
GRANT AVE AND 3RD STREET,
CHESTNUT STREET,
COLORADO AVE AND E 5TH ST,
025C,
COROUTE FOR 014A,
E HAMPDEN AVE AND E JEFFERSON AVE,
N RIVER DR,
US-24  AND COROUTE FOR 285C,
TEXAS HILL AVE,
POPLAR ST,
E 1ST AVE A,
9TH STREET,
US-24 AND CONSTITUTION AVE,
STANLEY RD,
N VAN BUREN AVE,
WAGNER ST,
COUNTY ROAD 305,
SHERIDAN BLVD AND W 1ST AVE,
S CANOSA CT,
VASQUEZ BLVDAT E 77TH AVE,
N CLEVELAND AVE AND S CLEVELAND AVE,
MARKET ST,
024A,
E COOPER AVE AND TOP OF THE ROCKIES,
S ALCOTT ST,
W ELKHORN AVE,
29 RD,
N 8TH ST,
STONEWALL AVE,
OLD HWY 82,
MIDLAND AVE,
OAK AVE,
GUNBARREL RD AND MAIN ST  AND COROUTE FOR 285B,
LINDEN ST,
S CAMINO DEL RIO AND COROUTE FOR 550A,
N 18TH ST,
6TH ST AND COROUTE FOR 285A,
37 3/10 RD,
094A,
S ORIGINAL ST,
HIGHWAY 24,
N REYNOLDS AVE,
CO-96  AND COROUTE FOR 096B,
