Name,Occupation,Race,Sex,Age
Ray & Davidson,,,,
"Reverend Frank George Pinkston, Sr.",,,,
Wallace E. Sturgis,politician,,male,68.0
Willard Ayres,botanist,,male,90.0
William Hamilton Rutherford,,,,
"William V. Chappell, Jr.",politician,,male,67.0
Campbell Thornal,,,,
Carl G. Rose,,,,
Central Florida,,,,
Dana F. Fuquay,,,,
Daniel Webster,politician,,male,70.0
Francis L. Dade,military officer,,male,42.0
Getzen,,,,
Howard E. Futch,,,,
Irlo Bronson,politician,,male,81.0
Kennedy Space Center,,,,
Martin Andersen Beachline,,,,
Perkins,,,,
Rosa Parks,,,,
Sanlando Springs,,,,
Semoran,,,male organism,
Seville‐Bunnell,,,,
Space Coast,,,,
Anelie Cadet,,,,
Arnold Palmer,golfer,,male,87.0
Edna S. Hargrett‐Thrower,,,,
"Edward Daniel Davis, Sr.",,,,
"Fred N. Dunn, Sr.",,,,
James B. Green,swimmer,,male,86.0
John Young,naval officer,,male,88.0
"Martin L. King, Jr.,",,,,
Old Apopka Road,,,,
"Robert Pittman, Jr.,",,,,
Senator Richard H. Langley,,,,
Spessard L. Holland,politician,,male,79.0
Veterans,,,,
William B. McGee,,,,
Kings,,,,
Officer Matthew Baxter,,,,
"Sergeant Richard Sam Howard, III",,,,
Robert Guevara,,,,
Senator N. Ray Carroll,,,,
Hamilton Disston,businessperson,,male,52.0
C. A. 'Bill' Benedict,,,,
George C. Means,,,,
Korean War Veterans,,,,
Seminole,,,,
"Sidney O. Chase, Jr.",,,,
"William A. Kratzert, Sr.",,,,
Florida Veterans,,,,
John M. Hammer,,,,
W. H. Boswell,,,,
Amos Walter Atchley,,,,
"Charles W. Cherry, Sr.",,,,
Clyde Hart,pianist,,male,35.0
"Congressman Williamm V. Chappell, Jr.",,,,
David Hinson,,,,
Douglas Stenstrom,lawyer,,male,89.0
George Musson,,,,
Harris M. Saxon,,,,
International Speedway,,,,
Kevin John Fischer,,,,
Leonard B. Knox,,,,
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
POW‐MIA Rose Bay Bridges,,,,
"Robert F. Grim, Sr.,",,,,
St. Johns River Veterans,,,,
Trooper Darryl Haywood,,,,
24th of February,,,,
A.B. Martin,,,,
African Caribbean Cultural Arts,,,,
Aleida Leal,,,,
Alexandre Petion,politician,,male,48.0
All America,,,,
Allapattah,,,,
Ambassador Armando Valladares,,,,
American Bankers,,,,
Andrew J. Capeletti,,,,
Angel Manuel De La Portilla,,,,
Angel Pio de la Portilla,,,,
Anne Ackerman,activist,,female,75.0
Anthony J. Perez,,,,
Armando Perez 'Yambo',,,,
Arnold M. Velazquez,,,,
