_id,highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,flag_reason
491,Semper Fi Highway,15,11,"ACR 121, CH 40, 2004",Route 163,Miramar Road,False,False,False,no commemorative keyword or person-name heuristic match
492,Sepulveda Freeway ,405,"12, 7",By Location,I-5 south of Irvine,I-5 north of San Fernando,False,False,False,no commemorative keyword or person-name heuristic match
493,Sequoia-Kings Canyon Freeway,180,6,"SCR 25, CH 85, 1997",Brawley Avenue,Highland Avenue,False,False,False,no commemorative keyword or person-name heuristic match
499,Shoreline Highway,"1, 211","4, 1","SCR 91, CH 239, 1957",San Francisco,Fernbridge,False,False,False,no commemorative keyword or person-name heuristic match
500,Sierra Freeway,168,6,"SCR 25, CH 85, 1997",Route 180 in Fresno,Armstrong Avenue in Fresno,False,False,False,no commemorative keyword or person-name heuristic match
502,Simi Valley-San Fernando Valley Freeway,118,7,"ACR 145, CH 185, 1970",Route 23 in Moorpark,I-210 in San Fernando,False,False,False,no commemorative keyword or person-name heuristic match
503,Sinclair Freeway,"280, 680",4,"ACR 104, CH 168, 1967",Route 17 near San Jose,Santa Clara/Alameda County Line,False,False,False,no commemorative keyword or person-name heuristic match
505,Skyline Boulevard,"17, 35, 92, 280",4,"CH 46, 1919",Santa Cruz,San Francisco,False,False,False,no commemorative keyword or person-name heuristic match
508,California Small Business Owner's Highway,99,3,"ACR 118, CH 174, 2014",HULL ROAD - PM 22.830,STEWART ROAD - PM 26.880,False,False,False,no commemorative keyword or person-name heuristic match
515,Sonora and Mono Wagon Road,"108, 395","10, 9","SB 289, CH 111, 1901, Extended AB 672, CH 510, 1919",Eastern boundary of the City of Sonora,Bridgeport,False,False,False,no commemorative keyword or person-name heuristic match
518,South Bay Freeway,54,11,By Location,I-805,Route 94,False,False,False,no commemorative keyword or person-name heuristic match
520,Southern Yosemite Highway,41,6,"ACR 27, CH 69, 1989",Fresno/Madera County Line,Yosemite National Park,False,False,False,no commemorative keyword or person-name heuristic match
526,Robert Louis Stevenson's Historic Trail to Silverado,29,4,"SCR 37, CH 93, 2010",Post Mile 37.9,Post Mile 39.5,False,False,False,no commemorative keyword or person-name heuristic match
536,Temecula Valley Freeway,15,8,"ACR 125, CH 78, 1990",San Diego/Riverside County Line,Bundy Canyon Road near Lake Elsinore,False,False,False,no commemorative keyword or person-name heuristic match
544,Tinloy Street,"20, 49",3,"SCR 11, CH 121, 2005",East Main Street,South Auburn Street,False,False,False,no commemorative keyword or person-name heuristic match
545,Tioga Road ,120,9,"AB 302, CH 306, 1915",East Boundary of Yosemite National Park,Route 395,False,False,False,no commemorative keyword or person-name heuristic match
547,Torrance Freeway,107,7,"ACR 63, CH 171, 1968",Route 1 near Torrance,I-405 near Lawndale,False,False,False,no commemorative keyword or person-name heuristic match
548,Trinity Scenic Byway,299,"1, 2","ACR 126, CH 131, 1992",Route 101 in Arcata,I-5 in Redding,False,False,False,no commemorative keyword or person-name heuristic match
553,Twentynine Palms Highway,62,8,"ACR 164, CH 121, 1990",I-10,Route 177,False,False,False,no commemorative keyword or person-name heuristic match
557,"Imperial Valley Pioneers
Expressway",111,11,"ACR 160, CH 147, 2010",Route 8,Route 78,False,False,False,no commemorative keyword or person-name heuristic match
558,Valley of the Moon Scenic Route,"37, 121, 12",4,"SCR 56, CH 192, 1953 & ACR 46, CH 140, 1949",Route 101 near Ignacio,Santa Rosa via Sonoma,False,False,False,no commemorative keyword or person-name heuristic match
565,Ventura Freeway,"134, 101",7,Historical ,I-5,"Route 1, east of the City of Ventura",False,False,False,no commemorative keyword or person-name heuristic match
566,Ventura Freeway Extension,101,7,"SCR 4, CH 62, 1973","Route 1, east of the City of Ventura",Santa Barbara/Ventura County Line,False,False,False,no commemorative keyword or person-name heuristic match
582,Wabash Boulevard,15,11,By Location,I-5,I-805,False,False,False,no commemorative keyword or person-name heuristic match
590,Warren Boulevard ,13,4,"ACR 96, CH 166, 1957",I-580,Route 24,False,False,False,no commemorative keyword or person-name heuristic match
591,West Side Freeway,5,"6, 10, 3",By Location,Route 99 in Wheeler Ridge,Woodland,False,False,False,no commemorative keyword or person-name heuristic match
592,West Valley Freeway,85,4,"ACR 57, CH 73, 1996",Route 101 near Bernal Road in San Jose,Route 101 near Moffett Boulevard in Mountain View,False,False,False,no commemorative keyword or person-name heuristic match
611,Yolo and Lake Highway,"53, 20, 16","1, 3","CH 283, 1915",Lower Lake,Rumsey,False,False,False,no commemorative keyword or person-name heuristic match
613,Yosemite Freeway,41,6,"SCR 25, CH 85, 1997",Elkhorn Avenue to Ventura Avenue,Herndon Avenue to the Fresno/Madera County Line,False,False,False,no commemorative keyword or person-name heuristic match
