ROUTE,ROUTESIGN,ALIAS,DESCRIPTIO,COUNTY,CITY,route_clean
021B,SH,S POWERS BLVD,JCT U.S. 024G SOUTH AND EAST - RUNNING NORTH ALONG POWERS BLVD -- MAJOR STR (I-18-AC) UNDERPASS SEPARATION -- BEGIN SH021B IN COLORADO SPRINGS CITY LIMITS,El Paso Co,Colorado Springs,SH-21
021A,SH,S POWERS BLVD,MILEPOST 139,El Paso Co,Colorado Springs,SH-21
085B,U.S.,S SANTA FE DR,I-25 INTERCHANGE STR (F-16-DT | F-16-XP) AND (F-16-XS)  NB - JCT I-25 NB - UNDERPASS SEPARATION - END OFFICER DANNY DIETZ MEMORIAL HWY,Denver Co,Denver,US-85
085B,U.S.,S SANTA FE DR,RD N (CHEROKEE ST),Denver Co,Denver,US-85
085B,U.S.,S SANTA FE DR,RD NE (S CHEROKEE ST),Denver Co,Denver,US-85
085B,U.S.,S SANTA FE DR,C-470 INTERCHANGE STR (F-16-IC | F-16-YE) JCT SH-470A EAST AND WEST - OVERPASS SEPARATION - BEGIN OFFICER DANNY DIETZ MEMORIAL HWY (SANTA FE),Douglas Co,,US-85
138A,U.S.,US-138,MAJOR STR (A-25-H) POWELL DITCH,Logan Co,,US-138
287C,U.S.,US-287,RD W (CO RD 80C) (CHEROKEE RD),Larimer Co,,US-287
287A,U.S.,US-287,RD NE (CO RD 8.1) (MEMORIAL DRIVE),Prowers Co,,US-287
050A,U.S.,US-50,RD SW (MIAMI RD) (CO RD N.5),Montrose Co,,US-50
050B,U.S.,US-50,RD S (POWERS AVE),Otero Co,Swink,US-50
040C,U.S.,W COLFAX AVE,RD S (CHEROKEE ST) (COURT PL) (14TH ST),Denver Co,Denver,US-40
285D,U.S.,W HAMPDEN AVE,RD N AND S (CHEROKEE ST),Arapahoe Co,Englewood,US-285
